📡  央视IPV6,#genre#
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225646/2/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225496/2/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225627/2/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225636/2/index.m3u8
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225628/2/index.m3u8
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225495/2/index.m3u8
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225629/2/index.m3u8
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225637/2/index.m3u8
CCTV13,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225638/2/index.m3u8
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225494/2/index.m3u8
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225639/2/index.m3u8
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225640/2/index.m3u8
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225641/2/index.m3u8
CCTV16,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226597/index.m3u8
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225907/2/index.m3u8
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225908/2/index.m3u8
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225909/2/index.m3u8
CCTV4K,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226998/index.m3u8
CCTV﻿4K,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CCTV4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
4KUHD,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225786/2/index.m3u8
4KUHD,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://[2409:8c02:21c:60::2b]/live.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8
CHC高清电影,http://[2409:8c02:21c:60::2b]/live.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC家庭影院,http://[2409:8c02:21c:60::2b]/live.rxip.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
